type,rating
movie,3.34
tv,3.34
tv,3.34
tv,3.34
tv,3.34
tv,3.34
movie,3.33
tv,3.33
movie,3.33
movie,3.33
movie,3.33
tv,3.33
tv,3.33
movie,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.33
tv,3.32
tv,3.32
movie,3.32
tv,3.32
movie,3.32
tv,3.32
tv,3.32
tv,3.32
tv,3.32
tv,3.32
tv,3.32
movie,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.31
tv,3.3
tv,3.3
tv,3.3
tv,3.3
tv,3.3
tv,3.3
tv,3.3
movie,3.29
tv,3.29
movie,3.29
movie,3.29
movie,3.29
movie,3.29
tv,3.29
tv,3.29
movie,3.29
tv,3.29
tv,3.29
tv,3.29
tv,3.28
movie,3.28
tv,3.28
tv,3.28
movie,3.28
tv,3.28
tv,3.28
movie,3.28
tv,3.28
tv,3.28
tv,3.28
tv,3.28
tv,3.28
tv,3.28
movie,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.27
tv,3.26
tv,3.26
tv,3.26
tv,3.26
tv,3.26
tv,3.26
tv,3.26
tv,3.25
tv,3.25
tv,3.25
tv,3.25
tv,3.25
tv,3.25
tv,3.24
tv,3.24
tv,3.24
tv,3.24
tv,3.24
tv,3.24
movie,3.24
tv,3.24
tv,3.24
tv,3.24
tv,3.23
tv,3.23
tv,3.23
tv,3.23
tv,3.23
tv,3.23
movie,3.23
tv,3.23
tv,3.23
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.22
tv,3.21
movie,3.21
tv,3.21
tv,3.21
tv,3.21
tv,3.21
tv,3.21
tv,3.21
tv,3.2
tv,3.2
movie,3.2
tv,3.2
tv,3.2
tv,3.2
tv,3.2
movie,3.2
tv,3.2
tv,3.2
tv,3.2
tv,3.2
tv,3.19
tv,3.19
tv,3.19
tv,3.19
tv,3.19
tv,3.19
tv,3.18
tv,3.18
movie,3.18
tv,3.18
tv,3.18
tv,3.18
movie,3.18
tv,3.18
tv,3.18
tv,3.17
tv,3.17
tv,3.17
tv,3.17
tv,3.17
movie,3.17
movie,3.17
movie,3.17
movie,3.17
tv,3.16
tv,3.16
tv,3.16
tv,3.16
tv,3.16
tv,3.16
tv,3.16
tv,3.16
tv,3.15
movie,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.15
tv,3.14
tv,3.14
tv,3.14
tv,3.14
tv,3.14
movie,3.14
tv,3.14
tv,3.14
tv,3.14
tv,3.14
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.13
tv,3.12
tv,3.12
tv,3.12
tv,3.12
tv,3.12
tv,3.12
tv,3.12
movie,3.12
tv,3.12
tv,3.12
tv,3.12
movie,3.11
tv,3.11
movie,3.11
tv,3.11
tv,3.11
tv,3.11
tv,3.11
movie,3.11
tv,3.1
tv,3.1
tv,3.09
tv,3.09
movie,3.09
tv,3.09
tv,3.09
tv,3.09
tv,3.09
tv,3.09
tv,3.09
tv,3.08
tv,3.08
tv,3.08
tv,3.08
tv,3.08
tv,3.08
tv,3.08
tv,3.08
tv,3.07
tv,3.07
tv,3.07
movie,3.07
tv,3.07
tv,3.07
tv,3.07
tv,3.07
tv,3.06
tv,3.06
tv,3.06
tv,3.06
tv,3.05
tv,3.05
tv,3.05
tv,3.05
tv,3.05
tv,3.05
tv,3.05
tv,3.05
movie,3.05
movie,3.05
tv,3.05
tv,3.05
tv,3.05
tv,3.04
tv,3.04
tv,3.04
tv,3.04
movie,3.04
tv,3.04
tv,3.04
tv,3.03
tv,3.03
tv,3.03
tv,3.03
tv,3.03
movie,3.03
tv,3.02
tv,3.02
tv,3.02
tv,3.02
movie,3.02
tv,3.02
tv,3.02
tv,3.02
tv,3.02
movie,3.02
tv,3.02
tv,3.01
tv,3.01
tv,3.01
tv,3.01
tv,3.0
tv,3.0
movie,3.0
movie,3.0
tv,3.0
tv,3.0
tv,3.0
tv,2.99
movie,2.99
tv,2.99
tv,2.98
tv,2.98
tv,2.98
tv,2.98
tv,2.98
tv,2.98
tv,2.98
tv,2.98
tv,2.97
tv,2.97
tv,2.97
movie,2.97
tv,2.97
tv,2.97
tv,2.96
tv,2.96
tv,2.96
tv,2.96
tv,2.95
tv,2.95
tv,2.95
tv,2.94
movie,2.94
tv,2.93
tv,2.93
tv,2.93
tv,2.93
tv,2.93
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.91
tv,2.9
tv,2.9
movie,2.89
tv,2.89
tv,2.89
tv,2.88
tv,2.88
movie,2.88
tv,2.88
tv,2.87
tv,2.87
tv,2.87
tv,2.87
tv,2.87
tv,2.87
tv,2.86
tv,2.86
tv,2.86
tv,2.86
tv,2.86
tv,2.85
tv,2.85
tv,2.85
movie,2.85
tv,2.85
tv,2.85
tv,2.84
tv,2.84
tv,2.83
tv,2.83
tv,2.83
tv,2.83
tv,2.83
tv,2.83
tv,2.82
tv,2.82
tv,2.82
tv,2.81
tv,2.81
tv,2.81
tv,2.81
tv,2.81
tv,2.79
tv,2.79
tv,2.79
tv,2.79
tv,2.79
tv,2.79
movie,2.79
tv,2.79
tv,2.78
tv,2.78
tv,2.75
tv,2.75
tv,2.75
tv,2.75
tv,2.74
tv,2.74
tv,2.74
tv,2.74
movie,2.74
tv,2.74
tv,2.73
